date,HSol,AzSol,AngInc,AngProf,GlobHor,DiffHor,BeamHor,T Amb,WindVel,GlobInc,BeamInc,DifSInc,Alb Inc,GlobEff,BeamEff,DiffEff,Alb_Eff,FTransp,FIAMGl,FIAMBm,FIAMDif,FIAMAlb,EArrRef,EArrNom,GIncLss,TempLss,ModQual,LIDLoss,MisLoss,OhmLoss,EArrMPP,EArUfix,EUnused,EArray,TExtON,TArray,DTArr,DTArrGl,IArray,UArray,ArrayON,OutConv,CnvLoss,CL Oper,CL Pmin,CL Vmin,CL Pmax,CL Vmax,SOCmean,SOC Beg,SOC End,ChargON,DischON,U Batt,UBatCh,UBatDis,IBatCh,IBatDis,IBEffL,IBGass,IBSelf,EBatCh,EBatDis,EBatLss,EBatEff,ESOCBal,WeCycle,WeState,MGass,E Avail,E Load,E User,I User,SolFrac,E Miss,T LOL,Pr LOL,EffArrR,EffArrC,EffSysR,EffSysC,EffBatI,EffBatE,Yr,Yu,Ya,Yf,Lu,Lc,Ls,Lur,Lcr,Lsr,PR
01/01/90 00:00,0,0,90,0,0,0,0,9.4102,3.2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.4102,0,0,0,0,0,0,0,0,0,0,0,0.5974,0.6,0.5949,0,1,50.867,0,50.867,0,3.7891,0,0,0.0152,0,0.1927,-0.0047,-0.0047,-0.188,0.0004,99.999,0,0,0.1927,0.1927,3.7883,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 01:00,0,0,90,0,0,0,0,9.4001,2.8,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.4001,0,0,0,0,0,0,0,0,0,0,0,0.5923,0.5949,0.5898,0,1,50.847,0,50.847,0,3.7906,0,0,0.0152,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.999,0,0,0.1927,0.1927,3.7898,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 02:00,0,0,90,0,0,0,0,9.19,2.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.19,0,0,0,0,0,0,0,0,0,0,0,0.5872,0.5898,0.5846,0,1,50.852,0,50.852,0,3.7902,0,0,0.0152,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.998,0,0,0.1927,0.1927,3.7894,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 03:00,0,0,90,0,0,0,0,9.0902,2.8,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.0902,0,0,0,0,0,0,0,0,0,0,0,0.582,0.5846,0.5795,0,1,50.844,0,50.844,0,3.7909,0,0,0.0152,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.998,0,0,0.1927,0.1927,3.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 04:00,0,0,90,0,0,0,0,8.9899,2.8,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.9899,0,0,0,0,0,0,0,0,0,0,0,0.5769,0.5795,0.5743,0,1,50.835,0,50.835,0,3.7915,0,0,0.0151,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.997,0,0,0.1927,0.1927,3.7907,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 05:00,0,0,90,0,0,0,0,8.88,2.9999,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.88,0,0,0,0,0,0,0,0,0,0,0,0.5717,0.5743,0.5692,0,1,50.827,0,50.827,0,3.7921,0,0,0.0151,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.997,0,0,0.1927,0.1927,3.7913,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 06:00,0,0,90,0,0,0,0,8.82,2.7001,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.82,0,0,0,0,0,0,0,0,0,0,0,0.5666,0.5692,0.564,0,1,50.813,0,50.813,0,3.7931,0,0,0.0151,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.996,0,0,0.1927,0.1927,3.7923,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 07:00,0,0,90,0,0,0,0,8.76,3.2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.76,0,0,0,0,0,0,0,0,0,0,0,0.5614,0.564,0.5588,0,1,50.799,0,50.799,0,3.7942,0,0,0.0151,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.996,0,0,0.1927,0.1927,3.7934,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9635,0,0,-0.9635,1,1,1,1
01/01/90 08:00,2.0818,-46.148,51.848,3.0034,1.5987,1.5987,0,8.8598,2.9999,0.2329,-0.2329,0.2329,0,0,0,0,0,0.1457,1,1,1,1,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8598,0,0,0,0,0,0,0,0,0,0,0,0.5563,0.5588,0.5537,0,1,50.764,0,50.764,0,3.7968,0,0,0.0151,0,0.1927,-0.0048,-0.0048,-0.188,0.0004,99.995,0,0,0.1927,0.1927,3.796,1,0,0,0,0,0,3146.8,3604.9,0,0,0.0056,0.0056,0,0.9635,0,0.0056,-0.9635,0,1,-172.38,172.38
01/01/90 09:00,6.8389,-36.135,41.063,8.4466,36.498,36.498,0,9.82,4.4001,31.13,0,29.305,1.8249,29.09,0,27.367,1.7228,0.8529,0.9634,1,0.9627,0.9733,0.1494,0.141,0.0217,-0.0076,-0.0016,0.0013,0.0013,0.0017,0.1243,0.1243,0,0.1243,0,10.912,1.0919,0.0375,2.0179,61.594,1,0.0806,0.0437,0.0437,0,0,0,0,0.5522,0.5537,0.5507,0,1,50.631,0,50.631,0,2.2136,0,0,0.0152,0,0.1121,-0.0035,-0.0035,-0.1086,0.0002,99.995,0,0.0806,0.1927,0.1927,3.806,1,0,0,0,15.184,17.395,23.542,26.969,0,0,0.7471,0.7471,0.6214,0.9635,0,0.1257,-0.3421,0,0.1682,-0.4578,1.2896
01/01/90 10:00,11.292,-22.886,28.32,12.229,73.501,72.101,1.4004,10.82,3.7999,74.628,6.296,64.657,3.6751,69.916,6.0656,60.381,3.4695,1.0153,0.9658,0.9932,0.9627,0.9733,0.3582,0.3389,0.029,-0.0158,-0.0041,0.0033,0.0033,0.0052,0.3181,0.3181,0,0.3181,0,13.409,2.589,0.037,5.0126,63.459,1,0.2723,0.0458,0.0458,0,0,0,0,0.5517,0.5507,0.5528,1,0,50.524,50.524,0,1.5749,0,0.0309,0,0.0154,0.0796,0,0.003,0.0023,0.0765,0,99.994,0,0.2723,0.1927,0.1927,3.814,1,0,0,0,16.21,18.571,9.8201,11.25,109.99,-1.0363,1.7911,1.7911,1.5905,0.9635,0,0.2006,0.627,0,0.112,0.3501,0.5379
01/01/90 11:00,13.773,-8.9593,18.213,13.937,94.503,91.803,2.7002,11.61,3.7999,98.648,10.773,83.15,4.7252,92.534,10.423,77.651,4.4609,1.0439,0.967,0.9974,0.9627,0.9733,0.4735,0.4485,0.0307,-0.0181,-0.0054,0.0044,0.0044,0.0076,0.4251,0.4251,0,0.4251,0,15.028,3.4183,0.0369,6.6655,63.778,1,0.3801,0.045,0.045,0,0,0,0,0.5552,0.5528,0.5577,1,0,50.45,50.45,0,3.7142,0,0.0728,0,0.0155,0.1874,0,0.0045,0.0038,0.1828,0,99.993,0,0.3801,0.1927,0.1927,3.8196,1,0,0,0,16.389,18.775,7.429,8.5106,111.23,-0.4394,2.3676,2.3676,2.1256,0.9635,0,0.242,1.1621,0,0.1022,0.4908,0.407
